Do you typically check a daily weather report?,How do you typically check the weather?,Age,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region,"If you had a smartwatch (like the soon to be released Apple Watch), how likely or unlikely would you be to check the weather on that device?",incluence on checking smartwatch
Yes,The default weather app on your phone,60+,Male,$10000 to $24999,East South Central,Somewhat likely,test
Yes,The default weather app on your phone,30 - 44,Female,$25000 to $49999,South Atlantic,Very likely,test
Yes,Radio weather,60+,Female,$50000 to $74999,South Atlantic,Somewhat likely,test
No,Newspaper,60+,Female,$200000 and up,Pacific,Very unlikely,test
Yes,A specific website or app (please provide the answer),45 - 59,Male,$25000 to $49999,South Atlantic,Very likely,test
No,Radio weather,60+,Female,$25000 to $49999,Pacific,Very likely,test
No,The Weather Channel,60+,Female,$75000 to $99999,South Atlantic,Somewhat likely,test
Yes,Local TV News,60+,Female,$100000 to $124999,Middle Atlantic,Somewhat unlikely,test
Yes,The default weather app on your phone,60+,Female,$50000 to $74999,East North Central,Very likely,test
Yes,The Weather Channel,30 - 44,Female,$200000 and up,East North Central,Somewhat likely,test
Yes,The Weather Channel,60+,Male,$50000 to $74999,South Atlantic,Very unlikely,test
Yes,Local TV News,45 - 59,Female,Prefer not to answer,Mountain,Somewhat likely,test
Yes,Newspaper,60+,Female,$125000 to $149999,New England,Somewhat unlikely,test
Yes,Local TV News,30 - 44,Female,$200000 and up,New England,Very likely,test
Yes,Internet search,45 - 59,Male,Prefer not to answer,Pacific,Very unlikely,test
Yes,Radio weather,60+,Female,$25000 to $49999,East South Central,Somewhat likely,test
Yes,The Weather Channel,60+,Female,$200000 and up,South Atlantic,Very likely,test
Yes,Local TV News,60+,Male,$200000 and up,Middle Atlantic,Somewhat likely,test
Yes,Internet search,45 - 59,Male,Prefer not to answer,East South Central,Very unlikely,test
Yes,A specific website or app (please provide the answer),60+,Male,$200000 and up,New England,Very likely,test
Yes,Radio weather,45 - 59,Female,$75000 to $99999,Middle Atlantic,Somewhat unlikely,test
Yes,Internet search,45 - 59,Female,$75000 to $99999,East South Central,Somewhat unlikely,test
Yes,Local TV News,60+,Female,$25000 to $49999,West South Central,Somewhat unlikely,test
No,The default weather app on your phone,30 - 44,Female,$100000 to $124999,East North Central,Very unlikely,test
Yes,Newsletter,45 - 59,Female,$175000 to $199999,South Atlantic,Somewhat likely,test
Yes,The default weather app on your phone,30 - 44,Female,Prefer not to answer,South Atlantic,Very unlikely,test
Yes,The Weather Channel,30 - 44,Female,$50000 to $74999,East North Central,Very likely,test
Yes,Local TV News,45 - 59,Female,$25000 to $49999,West South Central,Very likely,test
Yes,Internet search,60+,Male,$200000 and up,Pacific,Very likely,test
Yes,The default weather app on your phone,60+,Female,Prefer not to answer,East North Central,Very unlikely,test
Yes,A specific website or app (please provide the answer),45 - 59,Male,$75000 to $99999,East South Central,Very likely,test
No,A specific website or app (please provide the answer),45 - 59,Female,$150000 to $174999,East North Central,Very unlikely,test
Yes,The Weather Channel,45 - 59,Female,$50000 to $74999,Mountain,Very likely,test
Yes,Local TV News,45 - 59,Female,$0 to $9999,East South Central,Very likely,test
Yes,A specific website or app (please provide the answer),30 - 44,Female,$25000 to $49999,East North Central,Somewhat likely,test
No,The default weather app on your phone,45 - 59,Female,$100000 to $124999,West North Central,Somewhat unlikely,test
Yes,The default weather app on your phone,30 - 44,Female,$50000 to $74999,Mountain,Somewhat likely,test
Yes,A specific website or app (please provide the answer),60+,Female,$100000 to $124999,Pacific,Somewhat likely,test
Yes,The Weather Channel,30 - 44,Female,$10000 to $24999,East South Central,Very likely,test
No,Local TV News,45 - 59,Female,$0 to $9999,Pacific,Very likely,test
Yes,Local TV News,30 - 44,Female,$25000 to $49999,Pacific,Very likely,test
Yes,The default weather app on your phone,30 - 44,Female,$100000 to $124999,East North Central,Very likely,test
Yes,The default weather app on your phone,30 - 44,Female,$50000 to $74999,East North Central,Very unlikely,test
Yes,Local TV News,45 - 59,Male,$100000 to $124999,South Atlantic,Very likely,test
Yes,The default weather app on your phone,30 - 44,Female,$50000 to $74999,Middle Atlantic,Very likely,test
Yes,The default weather app on your phone,60+,Female,$25000 to $49999,West North Central,Very unlikely,test
Yes,Radio weather,60+,Male,$50000 to $74999,Pacific,Somewhat likely,test
No,Local TV News,60+,Male,$50000 to $74999,Mountain,Very likely,test
Yes,Internet search,45 - 59,Female,$25000 to $49999,East North Central,Very likely,test
Yes,The Weather Channel,45 - 59,Male,$100000 to $124999,South Atlantic,Very likely,test
Yes,Local TV News,45 - 59,Female,$25000 to $49999,Pacific,Somewhat likely,test
Yes,Local TV News,60+,Female,$150000 to $174999,East North Central,Very unlikely,test
Yes,Local TV News,45 - 59,Female,$100000 to $124999,East North Central,Very likely,test
Yes,The default weather app on your phone,45 - 59,Female,Prefer not to answer,East North Central,Very unlikely,test
No,A specific website or app (please provide the answer),45 - 59,Female,$150000 to $174999,Pacific,Somewhat likely,test
Yes,Local TV News,60+,Female,$125000 to $149999,Middle Atlantic,Very likely,test
Yes,Local TV News,45 - 59,Female,$75000 to $99999,East North Central,Somewhat likely,test
Yes,Local TV News,45 - 59,Female,$100000 to $124999,South Atlantic,Very likely,test
Yes,The Weather Channel,45 - 59,Male,$10000 to $24999,East North Central,Very likely,test
Yes,Internet search,45 - 59,Male,$50000 to $74999,Mountain,Very likely,test
No,Local TV News,45 - 59,Female,$50000 to $74999,South Atlantic,Very unlikely,test
Yes,Newspaper,45 - 59,Female,$75000 to $99999,South Atlantic,Very likely,test
Yes,Radio weather,30 - 44,Female,$50000 to $74999,West South Central,Somewhat likely,test
Yes,Local TV News,30 - 44,Female,$25000 to $49999,East North Central,Very unlikely,test
Yes,A specific website or app (please provide the answer),60+,Female,$10000 to $24999,Middle Atlantic,Very unlikely,test
Yes,Newspaper,45 - 59,Female,$25000 to $49999,Mountain,Very unlikely,test
Yes,Local TV News,45 - 59,Female,$25000 to $49999,West South Central,Very likely,test
No,Local TV News,30 - 44,Female,$25000 to $49999,West North Central,Very unlikely,test
Yes,A specific website or app (please provide the answer),45 - 59,Female,$100000 to $124999,West South Central,Somewhat likely,test
Yes,The default weather app on your phone,30 - 44,Male,$100000 to $124999,West North Central,Somewhat likely,test
Yes,Local TV News,45 - 59,Male,$10000 to $24999,West South Central,Very likely,test
Yes,A specific website or app (please provide the answer),60+,Male,$25000 to $49999,East North Central,Somewhat likely,test
Yes,The default weather app on your phone,45 - 59,Female,$25000 to $49999,South Atlantic,Very likely,test
Yes,The default weather app on your phone,45 - 59,Female,$100000 to $124999,New England,Somewhat likely,test
Yes,A specific website or app (please provide the answer),60+,Male,$200000 and up,Middle Atlantic,Somewhat likely,test
No,The default weather app on your phone,45 - 59,Female,Prefer not to answer,New England,Somewhat likely,test
Yes,The default weather app on your phone,30 - 44,Male,$50000 to $74999,West North Central,Very likely,test
Yes,The default weather app on your phone,60+,Male,$75000 to $99999,South Atlantic,Very likely,test
Yes,The Weather Channel,30 - 44,Female,Prefer not to answer,Middle Atlantic,Very unlikely,test
Yes,Local TV News,45 - 59,Female,$75000 to $99999,Middle Atlantic,Very likely,test
Yes,Local TV News,45 - 59,Female,$100000 to $124999,Middle Atlantic,Somewhat unlikely,test
Yes,A specific website or app (please provide the answer),45 - 59,Female,Prefer not to answer,Pacific,Very unlikely,test
Yes,A specific website or app (please provide the answer),30 - 44,Female,$25000 to $49999,Pacific,Very unlikely,test
Yes,A specific website or app (please provide the answer),30 - 44,Female,$25000 to $49999,South Atlantic,Very likely,test
No,Internet search,18 - 29,Male,$75000 to $99999,Pacific,Somewhat likely,test
Yes,A specific website or app (please provide the answer),45 - 59,Female,$200000 and up,West North Central,Somewhat likely,test
Yes,The Weather Channel,45 - 59,Female,$50000 to $74999,Middle Atlantic,Very likely,test
No,Local TV News,60+,Female,$10000 to $24999,West South Central,Very likely,test
Yes,The default weather app on your phone,30 - 44,Female,$10000 to $24999,West South Central,Somewhat unlikely,test
Yes,The default weather app on your phone,45 - 59,Male,$25000 to $49999,Pacific,Very likely,test
Yes,A specific website or app (please provide the answer),30 - 44,Female,$10000 to $24999,Pacific,Very likely,test
No,A specific website or app (please provide the answer),60+,Male,Prefer not to answer,Mountain,Very likely,test
Yes,Internet search,60+,Male,$10000 to $24999,West North Central,Very likely,test
Yes,Internet search,18 - 29,Male,$10000 to $24999,West South Central,Somewhat likely,test
Yes,Internet search,30 - 44,Female,Prefer not to answer,East South Central,Very unlikely,test
Yes,Newspaper,60+,Female,$75000 to $99999,East North Central,Somewhat unlikely,test
Yes,A specific website or app (please provide the answer),45 - 59,Male,$150000 to $174999,Pacific,Somewhat likely,test
Yes,Internet search,45 - 59,Female,$25000 to $49999,West South Central,Very likely,test
No,Internet search,60+,Female,$25000 to $49999,Pacific,Somewhat likely,test
Yes,The default weather app on your phone,30 - 44,Female,$100000 to $124999,Pacific,Somewhat likely,test
Yes,A specific website or app (please provide the answer),45 - 59,Male,$200000 and up,South Atlantic,Very likely,test
Yes,The Weather Channel,45 - 59,Male,$100000 to $124999,East North Central,Very likely,test
Yes,The Weather Channel,45 - 59,Female,$200000 and up,East North Central,Somewhat unlikely,test
Yes,A specific website or app (please provide the answer),60+,Female,Prefer not to answer,Mountain,Very likely,test
Yes,The Weather Channel,60+,Male,$150000 to $174999,South Atlantic,Somewhat likely,test
Yes,A specific website or app (please provide the answer),45 - 59,Female,$25000 to $49999,East North Central,Very likely,test
Yes,Local TV News,60+,Male,$200000 and up,Pacific,Very unlikely,test
Yes,The default weather app on your phone,18 - 29,Female,$75000 to $99999,East North Central,Very unlikely,test
Yes,A specific website or app (please provide the answer),30 - 44,Male,$100000 to $124999,South Atlantic,Very likely,test
Yes,The default weather app on your phone,45 - 59,Female,$25000 to $49999,Mountain,Very likely,test
No,Local TV News,45 - 59,Female,$125000 to $149999,Pacific,Somewhat likely,test
Yes,Local TV News,18 - 29,Female,$10000 to $24999,West North Central,Somewhat likely,test
No,The Weather Channel,18 - 29,Male,$10000 to $24999,West North Central,Somewhat likely,test
Yes,The Weather Channel,18 - 29,Female,Prefer not to answer,East North Central,Very likely,test
Yes,A specific website or app (please provide the answer),45 - 59,Male,$100000 to $124999,West South Central,Very unlikely,test
Yes,A specific website or app (please provide the answer),60+,Male,$125000 to $149999,Middle Atlantic,Somewhat likely,test
Yes,A specific website or app (please provide the answer),60+,Male,$25000 to $49999,Mountain,Very likely,test
Yes,The Weather Channel,18 - 29,Female,$25000 to $49999,Middle Atlantic,Very unlikely,test
Yes,The Weather Channel,60+,Male,$10000 to $24999,East South Central,Somewhat unlikely,test
Yes,Internet search,45 - 59,Male,$75000 to $99999,South Atlantic,Somewhat unlikely,test
Yes,The default weather app on your phone,18 - 29,Female,$10000 to $24999,Mountain,Somewhat likely,test
Yes,The default weather app on your phone,18 - 29,Female,$10000 to $24999,East North Central,Very unlikely,test
Yes,The default weather app on your phone,45 - 59,Male,$75000 to $99999,Pacific,Very likely,test
No,Internet search,18 - 29,Female,Prefer not to answer,Pacific,Somewhat likely,test
Yes,A specific website or app (please provide the answer),60+,Female,$50000 to $74999,Mountain,Very unlikely,test
Yes,Local TV News,30 - 44,Female,$10000 to $24999,Middle Atlantic,Somewhat likely,test
Yes,Internet search,30 - 44,Female,$200000 and up,Pacific,Very unlikely,test
Yes,Internet search,60+,Female,Prefer not to answer,South Atlantic,Somewhat likely,test
Yes,Local TV News,60+,Male,$25000 to $49999,Pacific,Very unlikely,test
Yes,The Weather Channel,60+,Female,$125000 to $149999,New England,Very unlikely,test
Yes,Internet search,60+,Male,$25000 to $49999,Mountain,Very unlikely,test
Yes,The Weather Channel,45 - 59,Male,$150000 to $174999,East North Central,Somewhat likely,test
Yes,The default weather app on your phone,60+,Female,$100000 to $124999,East North Central,Very likely,test
Yes,The default weather app on your phone,60+,Female,$200000 and up,South Atlantic,Somewhat likely,test
Yes,A specific website or app (please provide the answer),18 - 29,Female,$75000 to $99999,East North Central,Somewhat likely,test
Yes,A specific website or app (please provide the answer),45 - 59,Male,$150000 to $174999,Pacific,Very unlikely,test
Yes,The default weather app on your phone,30 - 44,Female,$100000 to $124999,Pacific,Very likely,test
Yes,The Weather Channel,45 - 59,Female,$50000 to $74999,Pacific,Somewhat likely,test
Yes,Internet search,18 - 29,Female,$75000 to $99999,West North Central,Very likely,test
No,The default weather app on your phone,45 - 59,Female,$75000 to $99999,East North Central,Very likely,test
Yes,The Weather Channel,45 - 59,Female,Prefer not to answer,Middle Atlantic,Very likely,test
No,The default weather app on your phone,18 - 29,Female,$25000 to $49999,Mountain,Somewhat likely,test
Yes,The default weather app on your phone,18 - 29,Female,$150000 to $174999,Middle Atlantic,Very likely,test
Yes,The Weather Channel,45 - 59,Female,$25000 to $49999,West South Central,Very likely,test
Yes,Newspaper,45 - 59,Female,$75000 to $99999,Middle Atlantic,Very unlikely,test
Yes,Local TV News,30 - 44,Female,Prefer not to answer,Pacific,Somewhat likely,test
Yes,Local TV News,30 - 44,Female,$50000 to $74999,East North Central,Somewhat likely,test
Yes,The Weather Channel,45 - 59,Female,$75000 to $99999,Mountain,Very likely,test
Yes,A specific website or app (please provide the answer),30 - 44,Female,Prefer not to answer,West North Central,Very likely,test
Yes,Local TV News,60+,Male,$100000 to $124999,Pacific,Very likely,test
Yes,A specific website or app (please provide the answer),30 - 44,Female,$200000 and up,East North Central,Somewhat likely,test
Yes,Local TV News,30 - 44,Female,$25000 to $49999,South Atlantic,Very likely,test
Yes,Local TV News,60+,Female,$10000 to $24999,West North Central,Very unlikely,test
Yes,The default weather app on your phone,18 - 29,Female,$75000 to $99999,East North Central,Very likely,test
Yes,Internet search,18 - 29,Female,$10000 to $24999,Mountain,Somewhat likely,test
Yes,The default weather app on your phone,60+,Female,$75000 to $99999,Pacific,Very likely,test
Yes,Local TV News,45 - 59,Female,$75000 to $99999,Middle Atlantic,Very likely,test
Yes,A specific website or app (please provide the answer),30 - 44,Female,$75000 to $99999,East North Central,Somewhat likely,test
No,Local TV News,18 - 29,Female,$0 to $9999,South Atlantic,Very likely,test
No,A specific website or app (please provide the answer),45 - 59,Female,$150000 to $174999,Middle Atlantic,Very unlikely,test
Yes,Newspaper,60+,Female,$100000 to $124999,New England,Very likely,test
Yes,Internet search,30 - 44,Female,$100000 to $124999,East North Central,Very unlikely,test
Yes,Local TV News,60+,Female,$200000 and up,South Atlantic,Very likely,test
Yes,Newspaper,60+,Male,Prefer not to answer,East North Central,Somewhat likely,test
Yes,The Weather Channel,60+,Male,$125000 to $149999,New England,Very likely,test
Yes,A specific website or app (please provide the answer),60+,Female,Prefer not to answer,Pacific,Very likely,test
Yes,Local TV News,45 - 59,Female,Prefer not to answer,East North Central,Somewhat likely,test
Yes,A specific website or app (please provide the answer),18 - 29,Female,Prefer not to answer,South Atlantic,Very likely,test
Yes,Local TV News,45 - 59,Male,$50000 to $74999,Pacific,Somewhat likely,test
Yes,Newspaper,45 - 59,Female,Prefer not to answer,Pacific,Somewhat likely,test
Yes,Internet search,60+,Male,$25000 to $49999,Pacific,Somewhat unlikely,test
Yes,Local TV News,60+,Female,Prefer not to answer,West South Central,Very unlikely,test
Yes,The default weather app on your phone,30 - 44,Female,$100000 to $124999,East North Central,Very unlikely,test
Yes,The Weather Channel,60+,Male,$25000 to $49999,Pacific,Very likely,test
Yes,Internet search,30 - 44,Female,$25000 to $49999,Pacific,Very unlikely,test
Yes,A specific website or app (please provide the answer),45 - 59,Male,Prefer not to answer,Pacific,Very unlikely,test
Yes,Internet search,60+,Female,$0 to $9999,Pacific,Very unlikely,test
Yes,Newspaper,60+,Male,Prefer not to answer,Mountain,Somewhat likely,test
Yes,The default weather app on your phone,60+,Male,$200000 and up,South Atlantic,Very likely,test
Yes,Internet search,18 - 29,Female,$10000 to $24999,Mountain,Very likely,test
Yes,The default weather app on your phone,18 - 29,Female,$100000 to $124999,East North Central,Very likely,test
No,Internet search,45 - 59,Female,$100000 to $124999,Pacific,Very unlikely,test
Yes,A specific website or app (please provide the answer),60+,Male,Prefer not to answer,South Atlantic,Somewhat likely,test
Yes,The Weather Channel,18 - 29,Female,$10000 to $24999,West South Central,Very likely,test
Yes,The Weather Channel,18 - 29,Female,Prefer not to answer,East North Central,Very likely,test
No,Local TV News,60+,Male,$50000 to $74999,West South Central,Very unlikely,test
Yes,The Weather Channel,45 - 59,Female,$75000 to $99999,Pacific,Somewhat unlikely,test
Yes,The Weather Channel,45 - 59,Male,$50000 to $74999,East North Central,Very likely,test
No,The Weather Channel,18 - 29,Female,Prefer not to answer,South Atlantic,Somewhat likely,test
No,Local TV News,18 - 29,Female,$10000 to $24999,South Atlantic,Very unlikely,test
Yes,The default weather app on your phone,45 - 59,Male,Prefer not to answer,Pacific,Somewhat likely,test
Yes,The Weather Channel,60+,Female,Prefer not to answer,West North Central,Very unlikely,test
Yes,The default weather app on your phone,45 - 59,Female,$25000 to $49999,West South Central,Very likely,test
Yes,Local TV News,60+,Female,Prefer not to answer,New England,Very likely,test
Yes,The Weather Channel,60+,Male,$125000 to $149999,Mountain,Very likely,test
Yes,A specific website or app (please provide the answer),60+,Male,$50000 to $74999,West South Central,Very unlikely,test
Yes,The default weather app on your phone,45 - 59,Female,$125000 to $149999,East North Central,Very likely,test
No,The default weather app on your phone,18 - 29,Female,$10000 to $24999,South Atlantic,Very unlikely,test
Yes,The default weather app on your phone,18 - 29,Female,$25000 to $49999,West South Central,Somewhat likely,test
Yes,The Weather Channel,45 - 59,Male,$175000 to $199999,West South Central,Very likely,test
Yes,A specific website or app (please provide the answer),60+,Female,$25000 to $49999,South Atlantic,Very likely,test
No,Internet search,18 - 29,Female,$25000 to $49999,Middle Atlantic,Somewhat unlikely,test
Yes,Local TV News,45 - 59,Female,$125000 to $149999,Pacific,Somewhat likely,test
Yes,A specific website or app (please provide the answer),30 - 44,Female,$75000 to $99999,Middle Atlantic,Very likely,test
Yes,A specific website or app (please provide the answer),45 - 59,Female,Prefer not to answer,Pacific,Somewhat likely,test
No,The default weather app on your phone,18 - 29,Female,$0 to $9999,Pacific,Somewhat unlikely,test
Yes,The default weather app on your phone,18 - 29,Female,$25000 to $49999,West South Central,Very unlikely,test
Yes,The Weather Channel,45 - 59,Male,$100000 to $124999,Middle Atlantic,Very likely,test
Yes,A specific website or app (please provide the answer),18 - 29,Female,Prefer not to answer,East South Central,Very likely,test
Yes,Radio weather,60+,Male,Prefer not to answer,Middle Atlantic,Very unlikely,test
Yes,A specific website or app (please provide the answer),45 - 59,Female,Prefer not to answer,South Atlantic,Very likely,test
Yes,Newspaper,60+,Female,$100000 to $124999,Pacific,Somewhat likely,test
Yes,The default weather app on your phone,18 - 29,Female,$200000 and up,New England,Somewhat likely,test
Yes,A specific website or app (please provide the answer),45 - 59,Female,$100000 to $124999,Mountain,Very likely,test
Yes,Local TV News,60+,Male,$75000 to $99999,Mountain,Very unlikely,test
Yes,The default weather app on your phone,18 - 29,Female,$10000 to $24999,South Atlantic,Very likely,test
No,Internet search,18 - 29,Female,$25000 to $49999,Pacific,Somewhat unlikely,test
No,A specific website or app (please provide the answer),45 - 59,Female,$100000 to $124999,Mountain,Somewhat likely,test
Yes,Internet search,45 - 59,Female,Prefer not to answer,East South Central,Very likely,test
No,Local TV News,45 - 59,Female,$125000 to $149999,West South Central,Very unlikely,test
Yes,Local TV News,18 - 29,Female,$10000 to $24999,Middle Atlantic,Very likely,test
Yes,The default weather app on your phone,60+,Male,$50000 to $74999,West North Central,Very likely,test
Yes,The default weather app on your phone,45 - 59,Female,$175000 to $199999,Middle Atlantic,Very unlikely,test
Yes,Internet search,60+,Female,$75000 to $99999,Pacific,Very likely,test
Yes,The default weather app on your phone,60+,Female,Prefer not to answer,East North Central,Very likely,test
Yes,The default weather app on your phone,30 - 44,Female,Prefer not to answer,South Atlantic,Very unlikely,test
Yes,The Weather Channel,60+,Male,$100000 to $124999,Mountain,Very likely,test
Yes,Local TV News,45 - 59,Female,$25000 to $49999,Middle Atlantic,Very likely,test
Yes,A specific website or app (please provide the answer),30 - 44,Female,$150000 to $174999,Pacific,Very unlikely,test
Yes,Local TV News,60+,Male,$200000 and up,Pacific,Very unlikely,test
Yes,Internet search,45 - 59,Female,Prefer not to answer,South Atlantic,Very likely,test
No,Local TV News,45 - 59,Female,$75000 to $99999,South Atlantic,Very unlikely,test
Yes,Internet search,18 - 29,Female,$10000 to $24999,New England,Very likely,test
No,Local TV News,45 - 59,Female,$25000 to $49999,East North Central,Somewhat likely,test
Yes,The Weather Channel,45 - 59,Male,$50000 to $74999,East South Central,Very likely,test
Yes,Internet search,30 - 44,Female,$50000 to $74999,Middle Atlantic,Somewhat likely,test
Yes,The Weather Channel,60+,Female,$50000 to $74999,West South Central,Very likely,test
Yes,The Weather Channel,45 - 59,Male,$125000 to $149999,East North Central,Very likely,test
Yes,A specific website or app (please provide the answer),18 - 29,Female,$25000 to $49999,Pacific,Very likely,test
Yes,Internet search,18 - 29,Female,Prefer not to answer,West South Central,Very likely,test
Yes,A specific website or app (please provide the answer),60+,Female,Prefer not to answer,East North Central,Very likely,test
Yes,Radio weather,45 - 59,Female,$75000 to $99999,Pacific,Somewhat likely,test
Yes,The default weather app on your phone,45 - 59,Female,$200000 and up,Mountain,Very likely,test
Yes,The Weather Channel,45 - 59,Female,$175000 to $199999,West South Central,Very likely,test
Yes,A specific website or app (please provide the answer),45 - 59,Female,$25000 to $49999,Middle Atlantic,Somewhat likely,test
Yes,Local TV News,60+,Male,Prefer not to answer,East South Central,Very unlikely,test
Yes,A specific website or app (please provide the answer),45 - 59,Male,$75000 to $99999,East North Central,Very likely,test
Yes,Internet search,18 - 29,Female,$10000 to $24999,Pacific,Very likely,test
Yes,Local TV News,60+,Female,Prefer not to answer,South Atlantic,Very likely,test
Yes,Local TV News,18 - 29,Female,$0 to $9999,New England,Somewhat likely,test
Yes,Radio weather,60+,Male,$200000 and up,West South Central,Very unlikely,test
Yes,The Weather Channel,45 - 59,Female,$0 to $9999,East North Central,Somewhat likely,test
Yes,Internet search,60+,Male,$125000 to $149999,Pacific,Somewhat likely,test
No,Local TV News,45 - 59,Female,$75000 to $99999,South Atlantic,Very likely,test
No,Internet search,30 - 44,Female,$75000 to $99999,Middle Atlantic,Very unlikely,test
Yes,Local TV News,60+,Female,$125000 to $149999,East North Central,Somewhat likely,test
No,The default weather app on your phone,18 - 29,Female,$150000 to $174999,Pacific,Somewhat likely,test
Yes,A specific website or app (please provide the answer),60+,Male,$125000 to $149999,West North Central,Very likely,test
Yes,Internet search,45 - 59,Female,$200000 and up,East South Central,Very likely,test
Yes,Newsletter,60+,Male,$75000 to $99999,West South Central,Very likely,test
Yes,Local TV News,60+,Female,Prefer not to answer,New England,Somewhat likely,test
Yes,A specific website or app (please provide the answer),30 - 44,Female,Prefer not to answer,East North Central,Somewhat likely,test
No,Local TV News,45 - 59,Female,$150000 to $174999,Mountain,Very unlikely,test
Yes,The default weather app on your phone,45 - 59,Male,$75000 to $99999,West South Central,Very likely,test
No,Local TV News,45 - 59,Female,Prefer not to answer,East North Central,Very likely,test
Yes,Newspaper,45 - 59,Female,Prefer not to answer,Pacific,Very likely,test
Yes,A specific website or app (please provide the answer),30 - 44,Female,Prefer not to answer,South Atlantic,Somewhat likely,test
No,The Weather Channel,18 - 29,Female,Prefer not to answer,South Atlantic,Very unlikely,test
Yes,A specific website or app (please provide the answer),45 - 59,Male,Prefer not to answer,Pacific,Very unlikely,test
Yes,Internet search,60+,Female,$75000 to $99999,East North Central,Very unlikely,test
Yes,A specific website or app (please provide the answer),45 - 59,Female,$75000 to $99999,South Atlantic,Very likely,test
Yes,Radio weather,60+,Female,$200000 and up,Pacific,Very unlikely,test
Yes,Local TV News,60+,Male,$75000 to $99999,East South Central,Very likely,test
Yes,Internet search,60+,Female,$25000 to $49999,Pacific,Very likely,test
Yes,Internet search,18 - 29,Female,Prefer not to answer,West South Central,Somewhat likely,test
Yes,Local TV News,45 - 59,Female,$100000 to $124999,Pacific,Somewhat likely,test
No,A specific website or app (please provide the answer),30 - 44,Female,$125000 to $149999,Pacific,Very unlikely,test
Yes,A specific website or app (please provide the answer),60+,Male,$50000 to $74999,South Atlantic,Very unlikely,test
Yes,The default weather app on your phone,18 - 29,Female,$75000 to $99999,East North Central,Very likely,test
Yes,The default weather app on your phone,30 - 44,Female,$25000 to $49999,West North Central,Somewhat likely,test
Yes,Local TV News,60+,Female,Prefer not to answer,West South Central,Somewhat likely,test
Yes,The Weather Channel,45 - 59,Female,$50000 to $74999,Pacific,Very likely,test
No,Local TV News,60+,Female,$25000 to $49999,Pacific,Very unlikely,test
No,Local TV News,30 - 44,Female,$25000 to $49999,East North Central,Very unlikely,test
Yes,A specific website or app (please provide the answer),18 - 29,Female,$125000 to $149999,Pacific,Very likely,test
Yes,A specific website or app (please provide the answer),60+,Female,Prefer not to answer,East North Central,Very unlikely,test
Yes,Radio weather,45 - 59,Male,$25000 to $49999,East South Central,Very unlikely,test
Yes,A specific website or app (please provide the answer),45 - 59,Female,$150000 to $174999,East North Central,Very likely,test
Yes,Local TV News,18 - 29,Female,$0 to $9999,East North Central,Very likely,test
Yes,A specific website or app (please provide the answer),18 - 29,Female,$0 to $9999,West South Central,Very unlikely,test
Yes,The default weather app on your phone,60+,Female,$50000 to $74999,West South Central,Somewhat likely,test
Yes,The default weather app on your phone,60+,Male,$100000 to $124999,Middle Atlantic,Somewhat likely,test
Yes,The Weather Channel,18 - 29,Female,$25000 to $49999,South Atlantic,Very likely,test
Yes,A specific website or app (please provide the answer),60+,Female,$25000 to $49999,Mountain,Somewhat likely,test
Yes,Local TV News,45 - 59,Female,$125000 to $149999,Pacific,Very likely,test
No,Newspaper,45 - 59,Female,$125000 to $149999,Pacific,Somewhat likely,test
Yes,Internet search,45 - 59,Female,Prefer not to answer,Mountain,Very unlikely,test
Yes,A specific website or app (please provide the answer),45 - 59,Female,$50000 to $74999,South Atlantic,Very likely,test
Yes,The default weather app on your phone,18 - 29,Female,$50000 to $74999,South Atlantic,Somewhat likely,test
Yes,Local TV News,45 - 59,Male,$10000 to $24999,West South Central,Somewhat likely,test
No,Local TV News,60+,Female,$25000 to $49999,Pacific,Somewhat likely,test
No,The default weather app on your phone,30 - 44,Female,$125000 to $149999,Mountain,Somewhat unlikely,test
Yes,Local TV News,45 - 59,Female,$10000 to $24999,West North Central,Somewhat likely,test
Yes,The default weather app on your phone,45 - 59,Female,$50000 to $74999,South Atlantic,Very likely,test
Yes,Local TV News,30 - 44,Female,$50000 to $74999,West South Central,Very likely,test
Yes,A specific website or app (please provide the answer),18 - 29,Female,Prefer not to answer,Middle Atlantic,Somewhat likely,test
Yes,The default weather app on your phone,30 - 44,Male,$25000 to $49999,East North Central,Somewhat likely,test
No,The Weather Channel,30 - 44,Female,$100000 to $124999,Pacific,Very likely,test
Yes,The default weather app on your phone,45 - 59,Female,$75000 to $99999,South Atlantic,Very likely,test
Yes,The Weather Channel,45 - 59,Male,$50000 to $74999,West North Central,Very likely,test
Yes,A specific website or app (please provide the answer),45 - 59,Male,$100000 to $124999,East North Central,Very likely,test
Yes,The Weather Channel,45 - 59,Female,$25000 to $49999,East South Central,Very likely,test
Yes,The Weather Channel,60+,Female,Prefer not to answer,Mountain,Somewhat likely,test
Yes,The default weather app on your phone,18 - 29,Female,$0 to $9999,Middle Atlantic,Very unlikely,test
Yes,The default weather app on your phone,18 - 29,Female,Prefer not to answer,New England,Very likely,test
Yes,Local TV News,45 - 59,Male,Prefer not to answer,Pacific,Very unlikely,test
Yes,Local TV News,60+,Female,$25000 to $49999,East North Central,Very likely,test
Yes,A specific website or app (please provide the answer),60+,Female,$25000 to $49999,Pacific,Very likely,test
Yes,The Weather Channel,60+,Male,$50000 to $74999,South Atlantic,Very likely,test
